CLUSTER_PREDICTION,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,0.11643935012500177,0.9680420641399408,0.006233985492328523,0.005012543086041012,0.004507715581470683,0.0323787429784717,0.12935195626822146,0.07984405830903812,0.049682476676384854,0.1483834742468414,0.04193036099457188,0.0066859944296952835,0.13933572475019165,0.029078084044310355,0.012914763077789054,0.024448491253644292,0.9186103012633626
1,0.009524190089924804,0.3792117228915667,0.007246142469099417,0.006269733353974639,0.004438839803659082,0.011417936260076611,0.20441457429718896,0.07294831726907629,0.12195345783132529,0.035780519410977256,0.00989323146243511,0.009153934172443985,0.13190435643515616,0.02898913030095424,0.002707715326911562,0.28011148995983953,0.9042838018741636
2,0.05891649591274178,0.9290026973180074,0.0223565280256902,0.0067921403359366824,0.03642215070242656,0.009467270496443903,0.8847171379310348,0.09473991954023006,0.8386354272030653,0.04351312260536398,0.012693517739775097,0.06097626233438213,0.12955994810808583,0.02613136692346085,0.012483980210493746,0.2281686513409963,0.9189016602809708
3,0.09919803394113627,0.9757937900355869,0.06856149416014078,0.06388527063189875,0.03369700909450376,0.014477267361170039,0.906616494661922,0.8124066370106761,0.5131007864768684,0.06508099169632262,0.019471689378815497,0.11405793355732718,0.22179314278245488,0.06474044672507184,0.00934799396757944,0.2870471245551601,0.9667852906287067
